Key,Number of C/L Bugs w/ No Probs,Number of Releases,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
PLUTO,123,22,225,90,0.4,12,0.053333333,102,0.453333333
IGNITE,1239,22,2357,1072,0.454815443,46,0.019516334,1118,0.474331778
JUDDI,219,32,417,190,0.455635492,8,0.019184652,198,0.474820144
WSS,126,49,242,104,0.429752066,12,0.049586777,116,0.479338843
SCOUT,40,18,78,25,0.320512821,13,0.166666667,38,0.487179487
SERF,1,3,2,1,0.5,0,0,1,0.5
CRUNCH,132,15,266,134,0.503759398,0,0,134,0.503759398
KAFKA,945,34,1915,820,0.428198433,150,0.078328982,970,0.506527415
THRIFT,746,16,1530,766,0.500653595,18,0.011764706,784,0.512418301
SOLR,1391,86,2855,1301,0.455691769,163,0.05709282,1464,0.512784588
VFS,94,7,193,99,0.512953368,0,0,99,0.512953368
SLING,110,682,237,121,0.510548523,6,0.025316456,127,0.535864979
CB,343,42,751,408,0.543275632,0,0,408,0.543275632
FLEX,255,46,563,301,0.534635879,7,0.012433393,308,0.547069272
VELOCITY,89,13,199,77,0.386934673,33,0.165829146,110,0.552763819
LIBCLOUD,75,43,168,93,0.553571429,0,0,93,0.553571429
GERONIMODEVTOOLS,69,18,155,59,0.380645161,27,0.174193548,86,0.55483871
NETBEANS,114,4,257,143,0.556420233,0,0,143,0.556420233
CAY,271,31,611,222,0.363338789,118,0.193126023,340,0.556464812
OPENNLP,76,14,175,98,0.56,1,0.005714286,99,0.565714286
HADOOP,537,134,1266,382,0.301737757,347,0.274091627,729,0.575829384
TUSCANY,325,36,767,369,0.481095176,73,0.09517601,442,0.576271186
COUCHDB,235,27,563,300,0.53285968,28,0.04973357,328,0.58259325
BCEL,26,8,64,38,0.59375,0,0,38,0.59375
AXIS2,657,36,1620,944,0.582716049,19,0.011728395,963,0.594444444
RAVE,46,22,114,60,0.526315789,8,0.070175439,68,0.596491228
JDO,101,11,255,153,0.6,1,0.003921569,154,0.603921569
OPENEJB,134,23,340,107,0.314705882,99,0.291176471,206,0.605882353
PIG,633,24,1632,773,0.473651961,226,0.138480392,999,0.612132353
FLUME,247,16,645,387,0.6,11,0.017054264,398,0.617054264
KYLIN,373,32,982,594,0.604887984,15,0.015274949,609,0.620162933
DRILL,665,24,1823,1119,0.613823368,39,0.021393308,1158,0.635216676
OAK,753,226,2118,1337,0.631255902,28,0.013220019,1365,0.644475921
AXIS2C,128,20,374,245,0.655080214,1,0.002673797,246,0.657754011
AIRFLOW,371,21,1093,686,0.627630375,36,0.032936871,722,0.660567246
ARIES,209,115,627,403,0.642743222,15,0.023923445,418,0.666666667
NPANDAY,40,9,120,78,0.65,2,0.016666667,80,0.666666667
FLINK,949,48,2882,1558,0.540596808,375,0.130117974,1933,0.670714781
ARROW,489,23,1493,1000,0.669792364,4,0.002679169,1004,0.672471534
LUCENE,720,107,2253,1372,0.608965823,161,0.071460275,1533,0.680426099
HCATALOG,40,3,127,87,0.68503937,0,0,87,0.68503937
TOMEE,199,30,634,420,0.662460568,15,0.023659306,435,0.686119874
HBASE,2026,173,6494,3289,0.506467508,1179,0.181552202,4468,0.688019711
ODFTOOLKIT,16,4,52,36,0.692307692,0,0,36,0.692307692
BOOKKEEPER,118,14,386,252,0.652849741,16,0.041450777,268,0.694300518
FALCON,174,8,577,331,0.573656846,72,0.124783362,403,0.698440208
ZEPPELIN,249,12,827,513,0.620314389,65,0.07859734,578,0.698911729
STORM,235,23,808,395,0.488861386,178,0.22029703,573,0.709158416
ACE,37,5,128,91,0.7109375,0,0,91,0.7109375
HIVE,1765,40,6139,3674,0.598468806,700,0.114025086,4374,0.712493892
APEXCORE,31,10,120,87,0.725,2,0.016666667,89,0.741666667
SHINDIG,149,21,608,383,0.629934211,76,0.125,459,0.754934211
TOREE,6,3,25,19,0.76,0,0,19,0.76
TS,421,52,1810,1316,0.727071823,73,0.040331492,1389,0.767403315
CALCITE,310,40,1341,1020,0.760626398,11,0.008202834,1031,0.768829232
XALANC,34,5,152,118,0.776315789,0,0,118,0.776315789
STANBOL,82,11,378,288,0.761904762,8,0.021164021,296,0.783068783
EAGLE,42,2,200,158,0.79,0,0,158,0.79
UIMA,188,88,973,722,0.742034943,63,0.064748201,785,0.806783145
FOP,53,7,282,229,0.812056738,0,0,229,0.812056738
OOZIE,218,14,1187,946,0.796967144,23,0.01937658,969,0.816343724
ORC,31,23,174,136,0.781609195,7,0.040229885,143,0.82183908
AIRAVATA,50,20,292,222,0.760273973,20,0.068493151,242,0.828767123
BEAM,218,22,1306,1075,0.823124043,13,0.009954058,1088,0.833078101
HDFS,54,79,362,147,0.406077348,161,0.444751381,308,0.850828729
PHOENIX,186,10,1322,1135,0.858547655,1,7.56E-04,1136,0.859304085
FOR,26,2,187,161,0.860962567,0,0,161,0.860962567
MAPREDUCE,60,78,441,206,0.467120181,175,0.396825397,381,0.863945578
